,City,Lng,Lat,Weather Id,Weather Main,Weather Description,Weather Icon,Base,Main Temp,Main Pressure,Humidity,Min Temp,Max Temp,Sea Level,Grnd Level,Wind Speed,Wind Deg,Cloudiness,Date,Country,Sunrise,Sunset,Timezone,id,cod
184,Muroto,134.14,33.37,801,Clouds,few clouds,02d,stations,283.15,1025,63,283.15,283.15,,,1.0,,20,1575422804,JP,1575409877,1575446147,32400,1856392,200
185,Mahabaleshwar,73.66,17.92,804,Clouds,overcast clouds,04d,model,294.05,1013,75,294.05,294.05,1013.0,979.0,2.22,91.0,99,1575422804,IN,1575422520,1575462542,19800,1264491,200
186,Surt,16.59,31.21,800,Clear,clear sky,01n,model,291.89,1016,28,291.89,291.89,1016.0,1007.0,5.65,179.0,0,1575422805,LY,1575437806,1575474657,7200,2210554,200
187,Tubuala,-79.03,9.52,801,Clouds,few clouds,02n,stations,300.15,1009,83,300.15,300.15,,,3.6,300.0,20,1575422805,PA,1575371881,1575413645,-18000,3700393,200
188,Dingle,122.67,11.0,500,Rain,light rain,10d,model,299.04,1010,87,299.04,299.04,1010.0,994.0,1.71,204.0,100,1575422805,PH,1575410035,1575451496,28800,1714733,200
189,Alofi,-169.92,-19.06,802,Clouds,scattered clouds,03d,stations,302.15,1012,66,302.15,302.15,,,5.1,180.0,40,1575422805,NU,1575390815,1575438351,-39600,4036284,200
190,Kunyang,120.56,27.66,800,Clear,clear sky,01d,model,279.93,1031,60,279.93,279.93,1031.0,1016.0,1.72,319.0,0,1575422805,CN,1575412380,1575450163,28800,1804645,200
191,Candelaria,121.42,13.93,500,Rain,light rain,10d,model,297.56,1010,94,297.56,297.56,1010.0,975.0,2.23,107.0,50,1575422805,PH,1575410634,1575451497,28800,1719274,200
192,Las Vegas,-115.15,36.17,804,Clouds,overcast clouds,04n,stations,285.13,1019,44,283.15,287.15,,,1.24,301.0,90,1575422706,US,1575383701,1575419167,-28800,5506956,200
193,Nago,10.89,45.88,802,Clouds,scattered clouds,03n,stations,275.0,1027,69,270.93,278.15,,,2.1,360.0,40,1575422805,IT,1575441631,1575473568,3600,3172402,200
194,Rena,-5.81,39.05,800,Clear,clear sky,01n,stations,280.93,1012,90,280.93,280.93,,,1.34,32.0,0,1575422805,ES,1575444356,1575478862,3600,2511936,200
195,Vardo,-77.74,39.62,804,Clouds,overcast clouds,04n,stations,275.09,1005,64,273.15,276.48,,,2.6,250.0,90,1575422805,US,1575375269,1575409637,-18000,4372777,200
196,Penzance,-5.53,50.12,800,Clear,clear sky,01n,stations,280.61,1020,86,278.15,283.15,,,4.6,150.0,0,1575422805,GB,1575446576,1575476507,0,2640377,200
197,Amapa,-87.97,15.09,803,Clouds,broken clouds,04n,stations,297.15,1015,83,297.15,297.15,,,2.6,240.0,75,1575422805,HN,1575374593,1575415225,-21600,3603330,200
198,Fortuna,-124.16,40.6,800,Clear,clear sky,01n,stations,285.33,1016,87,282.59,286.48,,,3.6,270.0,1,1575422805,US,1575386586,1575420609,-28800,5563839,200
199,Zhuhai,112.04,40.71,701,Mist,mist,50d,stations,259.15,1031,77,259.15,259.15,,,2.0,50.0,0,1575422806,CN,1575416337,1575450297,28800,2052479,200
200,Biak,122.88,-0.91,804,Clouds,overcast clouds,04d,model,300.89,1011,70,300.89,300.89,1011.0,1010.0,0.89,193.0,100,1575422806,ID,1575408811,1575452619,28800,1637001,200
201,Cameron Park,-120.99,38.68,501,Rain,moderate rain,10n,stations,284.7,1016,87,282.04,287.15,,,0.62,254.0,1,1575422806,US,1575385500,1575420172,-28800,5333282,200
202,Coquimbo,-71.34,-29.95,804,Clouds,overcast clouds,04n,stations,287.15,1012,87,287.15,287.15,,,3.6,300.0,100,1575422806,CL,1575365816,1575416018,-10800,3893629,200
203,Avarua,-159.78,-21.21,804,Clouds,overcast clouds,04d,stations,300.15,1011,74,300.15,300.15,,,4.1,80.0,91,1575422761,CK,1575388136,1575436160,-36000,4035715,200
204,North Platte,-100.77,41.12,800,Clear,clear sky,01n,stations,271.15,1016,79,271.15,271.15,,,2.6,320.0,1,1575422806,US,1575381060,1575414904,-21600,5697939,200
205,Labuhan,115.51,-2.54,803,Clouds,broken clouds,04d,model,299.29,1010,85,299.29,299.29,1010.0,998.0,0.96,240.0,62,1575422806,ID,1575410420,1575454548,28800,1641899,200
206,Clyde River,-68.59,70.47,804,Clouds,overcast clouds,04n,stations,253.15,990,76,253.15,253.15,,,1.0,290.0,90,1575422806,CA,0,0,-18000,5924351,200
207,Awbari,12.77,26.59,804,Clouds,overcast clouds,04n,model,292.24,1015,23,292.24,292.24,1015.0,953.0,3.88,151.0,96,1575422806,LY,1575438131,1575476166,7200,2219235,200
208,The Valley,-63.06,18.22,801,Clouds,few clouds,02n,stations,300.59,1016,78,300.37,301.15,,,2.6,90.0,20,1575422806,AI,1575368943,1575408916,-14400,3573374,200
209,Barinas,-70.23,8.64,804,Clouds,overcast clouds,04n,model,298.19,1011,82,298.19,298.19,1011.0,994.0,1.9,45.0,94,1575422806,VE,1575369681,1575411620,-14400,3648546,200
210,Bereda,-7.54,43.27,800,Clear,clear sky,01n,stations,273.16,1014,100,270.37,275.37,,,3.1,180.0,0,1575422806,ES,1575445528,1575478521,3600,3105522,200
211,Lagos,3.39,6.46,801,Clouds,few clouds,02n,stations,300.15,1011,94,300.15,300.15,,,5.36,223.0,20,1575422611,NG,1575438219,1575480582,3600,2332459,200
212,Lebu,38.73,8.96,802,Clouds,scattered clouds,03n,stations,285.15,1024,71,285.15,285.15,,,4.6,70.0,40,1575422807,ET,1575429983,1575471850,10800,344979,200
213,Praia,-43.81,-20.25,803,Clouds,broken clouds,04n,stations,294.15,1017,77,294.15,294.15,,,5.1,100.0,75,1575422807,BR,1575360411,1575408205,-10800,3460954,200
214,Honiara,159.96,-9.43,802,Clouds,scattered clouds,03d,stations,304.15,1008,66,304.15,304.15,,,4.1,50.0,40,1575422807,SB,1575399065,1575444562,39600,2108502,200
215,Egvekinot,-179.17,66.32,802,Clouds,scattered clouds,03n,model,257.01,1026,94,257.01,257.01,1026.0,967.0,3.64,354.0,49,1575422807,RU,1575496854,1575509600,43200,4031742,200
216,Igbo Ora,3.28,7.43,803,Clouds,broken clouds,04n,model,298.3,1010,79,298.3,298.3,1010.0,994.0,0.93,12.0,66,1575422807,NG,1575438342,1575480512,3600,2338669,200
217,Benito Juarez,-79.63,22.29,802,Clouds,scattered clouds,03n,stations,292.15,1014,88,292.15,292.15,,,0.5,,40,1575422807,CU,1575373370,1575412444,-18000,3543961,200
218,Khor,134.96,47.88,600,Snow,light snow,13d,model,255.35,1015,90,255.35,255.35,1015.0,1004.0,7.28,248.0,100,1575422807,RU,1575412278,1575443352,36000,2022317,200
219,Pasni,63.48,25.26,803,Clouds,broken clouds,04n,model,292.04,1016,35,292.04,292.04,1016.0,1006.0,1.24,17.0,55,1575422807,PK,1575425794,1575464156,18000,1168312,200
220,Jiblah,44.15,13.92,500,Rain,light rain,10n,model,289.92,1013,81,289.92,289.92,1013.0,833.0,0.75,321.0,93,1575422808,YE,1575429184,1575470046,10800,74185,200
221,Marseille,5.37,43.3,800,Clear,clear sky,01n,stations,279.9,1019,100,274.15,285.93,,,1.0,,0,1575422808,FR,1575442433,1575475417,3600,2995469,200
222,Pontes e Lacerda,-59.33,-15.23,803,Clouds,broken clouds,04n,model,297.06,1009,88,297.06,297.06,1009.0,975.0,1.3,14.0,66,1575422808,BR,1575364687,1575411380,-14400,3453060,200
223,Paez,-76.46,2.93,803,Clouds,broken clouds,04n,stations,297.15,1014,69,297.15,297.15,,,5.1,350.0,75,1575422808,CO,1575370616,1575413676,-18000,3668572,200
224,Mayya,130.28,61.74,804,Clouds,overcast clouds,04d,stations,243.15,1034,67,243.15,243.15,,,3.0,250.0,99,1575422808,RU,1575418474,1575439403,32400,2020121,200
225,Sayyan,44.32,15.17,800,Clear,clear sky,01n,model,282.53,1015,50,282.53,282.53,1015.0,774.0,1.67,32.0,1,1575422808,YE,1575429273,1575469876,10800,70979,200
226,Mount Gambier,140.78,-37.83,520,Rain,light intensity shower rain,09d,stations,286.15,1014,93,286.15,286.15,,,8.2,270.0,40,1575422808,AU,1575400109,1575452727,37800,2156643,200
227,Singaraja,115.08,-8.11,500,Rain,light rain,10d,model,301.92,1010,71,301.92,301.92,1010.0,1009.0,2.42,180.0,26,1575422808,ID,1575409971,1575455203,28800,1626932,200
228,Dhanwar,85.98,24.42,802,Clouds,scattered clouds,03d,model,286.8,1018,44,286.8,286.8,1018.0,981.0,1.51,310.0,39,1575422808,IN,1575420291,1575458855,19800,1272902,200
229,Ajdabiya,20.22,30.75,800,Clear,clear sky,01n,model,289.34,1018,60,289.34,289.34,1018.0,1017.0,5.17,142.0,4,1575422808,LY,1575436873,1575473847,7200,89113,200
230,Marawi,124.29,8.0,804,Clouds,overcast clouds,04d,stations,301.48,1011,71,301.48,301.48,,,1.79,40.0,100,1575422808,PH,1575409346,1575451407,28800,1701054,200
231,Broken Hill,141.45,-31.97,800,Clear,clear sky,01d,stations,295.15,1017,33,295.15,295.15,,,4.1,180.0,0,1575422808,AU,1575400863,1575451651,37800,2173911,200
232,Mvuma,30.53,-19.28,804,Clouds,overcast clouds,04n,model,296.09,1011,42,296.09,296.09,1011.0,862.0,6.2,15.0,100,1575422809,ZW,1575429086,1575476684,7200,884814,200
233,Pangody,74.49,65.85,804,Clouds,overcast clouds,04n,model,258.88,1011,96,258.88,258.88,1011.0,1003.0,5.2,254.0,91,1575422809,RU,1575435255,1575449408,18000,1495626,200
234,Mehamn,27.85,71.03,804,Clouds,overcast clouds,04n,stations,270.15,987,79,270.15,270.15,,,3.1,160.0,96,1575422809,NO,0,0,3600,778707,200
235,Pachino,15.09,36.72,800,Clear,clear sky,01n,stations,285.72,1015,87,283.15,289.26,,,1.0,30.0,0,1575422809,IT,1575438962,1575474221,3600,6539213,200
236,Ceres,-49.6,-15.31,500,Rain,light rain,10n,model,295.83,1011,87,295.83,295.83,1011.0,940.0,1.89,36.0,99,1575422809,BR,1575362343,1575409052,-10800,3466436,200
237,Teya,-89.07,21.05,800,Clear,clear sky,01n,stations,296.56,1015,69,296.15,297.04,,,1.5,40.0,5,1575422809,MX,1575375497,1575414849,-21600,3526662,200
238,Bonthe,-12.5,7.53,800,Clear,clear sky,01n,model,299.75,1011,81,299.75,299.75,1011.0,1011.0,2.3,283.0,0,1575422809,SL,1575442140,1575484290,0,2409914,200
239,Gavrilovka Vtoraya,42.77,52.88,804,Clouds,overcast clouds,04n,model,267.42,1011,95,267.42,267.42,1011.0,989.0,3.66,339.0,100,1575422809,RU,1575435750,1575464143,10800,561804,200
240,Rapid City,-103.23,44.08,800,Clear,clear sky,01n,stations,274.22,1013,64,272.15,275.37,,,3.1,250.0,1,1575422809,US,1575382205,1575414940,-25200,5768233,200
241,Sisimiut,-53.67,66.94,601,Snow,snow,13n,model,261.61,986,76,261.61,261.61,986.0,955.0,2.98,283.0,100,1575422809,GL,1575380892,1575392458,-10800,3419842,200
242,Bubaque,-15.83,11.28,803,Clouds,broken clouds,04n,model,301.58,1011,59,301.58,301.58,1011.0,1011.0,4.8,290.0,59,1575422810,GW,1575443315,1575484714,0,2374583,200
243,Baturaja,104.17,-4.12,804,Clouds,overcast clouds,04d,model,296.54,1011,93,296.54,296.54,1011.0,991.0,1.06,288.0,88,1575422810,ID,1575412987,1575457426,25200,1649593,200
244,Ponta do Sol,-46.0,-20.63,500,Rain,light rain,10n,model,292.65,1013,95,292.65,292.65,1013.0,917.0,2.8,95.0,89,1575422810,BR,1575360893,1575408774,-10800,3453439,200
245,Damietta,31.81,31.42,801,Clouds,few clouds,02n,stations,292.15,1019,59,292.15,292.15,,,3.6,330.0,20,1575422810,EG,1575434180,1575470976,7200,358048,200
246,Taos,-105.57,36.41,803,Clouds,broken clouds,04n,stations,274.72,1023,58,273.71,275.93,,,4.47,104.0,53,1575422810,US,1575381437,1575416832,-25200,5493811,200
247,Den Helder,4.76,52.96,802,Clouds,scattered clouds,03n,stations,278.22,1022,87,276.48,281.15,,,4.6,240.0,50,1575422810,NL,1575444905,1575473238,3600,2757220,200
248,Saint Anthony,-111.68,43.97,600,Snow,light snow,13n,stations,271.12,1025,92,270.15,272.15,,,0.87,15.0,90,1575422810,US,1575384213,1575416989,-25200,5606187,200
249,Nizhniy Baskunchak,46.83,48.22,600,Snow,light snow,13n,model,274.27,1015,97,274.27,274.27,1015.0,1015.0,7.28,247.0,100,1575422810,RU,1575433527,1575464417,14400,520798,200
250,Huntsville,-86.59,34.73,800,Clear,clear sky,01n,stations,275.84,1012,74,274.15,277.59,,,1.29,255.0,1,1575422706,US,1575376628,1575412528,-21600,4068590,200
251,Birecik,37.98,37.03,800,Clear,clear sky,01n,stations,275.48,1017,69,274.15,276.48,,,0.47,184.0,0,1575422810,TR,1575433513,1575468680,10800,321062,200
252,Samarai,150.67,-10.62,803,Clouds,broken clouds,04d,model,302.76,1010,62,302.76,302.76,1010.0,996.0,2.86,54.0,82,1575422810,PG,1575401174,1575446913,36000,2132606,200
253,Naze,7.07,5.43,804,Clouds,overcast clouds,04n,model,297.42,1010,90,297.42,297.42,1010.0,1000.0,1.44,174.0,100,1575422810,NG,1575437234,1575479800,3600,2337542,200
254,Port Hedland,118.58,-20.31,802,Clouds,scattered clouds,03d,stations,310.15,1009,13,310.15,310.15,,,2.6,350.0,33,1575422811,AU,1575407835,1575455659,28800,2063042,200
255,Aksarka,67.8,66.56,800,Clear,clear sky,01n,model,254.51,1010,96,254.51,254.51,1010.0,1004.0,4.7,205.0,10,1575422811,RU,1575437753,1575450123,18000,1512019,200
256,Horsham,142.2,-36.71,804,Clouds,overcast clouds,04d,model,288.41,1014,57,288.41,288.41,1014.0,999.0,5.18,257.0,100,1575422811,AU,1575399955,1575452199,39600,2163055,200
